story_id	participant_id	participant_age	semantic_similarity
Story1	p2	23	0.7369661331176758
Story4	p2	23	0.5858437418937683
Story5	p2	23	0.47341105341911316
Story9	p2	23	0.41590750217437744
Story1	p3	20	0.7357550859451294
Story4	p3	20	0.6745214462280273
Story5	p3	20	0.7332422733306885
Story9	p3	20	0.42660295963287354
Story1	p4	19	0.8340896368026733
Story4	p4	19	0.784500777721405
Story5	p4	19	0.699980616569519
Story9	p4	19	0.6852425336837769
